id,región,región1,circuns.,nombre,lista,partido,fuente,fecha,estado,link,link2
1,Antofagasta,2,3,Manuel Rojas,Chile Vamos,UDI,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
2,Antofagasta,2,3,Marcela Hernando,Unidad Constituyente,PR,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
3,Coquimbo,4,5,Sergio Gahona,Chile Vamos,UDI,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
4,Coquimbo,4,5,Matías Walker,Unidad Constituyente,DC,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
5,Metropolitana,5.5,7,Karina Oliva,Apruebo Dignidad,COM,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
6,Metropolitana,5.5,7,Guillermo Teillier,Apruebo Dignidad,PC,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
7,Metropolitana,5.5,7,Luciano Cruz-Coke,Chile Vamos,EVO,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
8,Metropolitana,5.5,7,Catalina Parot,Chile Vamos,EVO,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
9,Metropolitana,5.5,7,Marcela Sabat,Chile Vamos,RN,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
10,Metropolitana,5.5,7,Manuel J. Ossandón,Chile Vamos,RN,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
11,Metropolitana,5.5,7,Pablo Maltés,Humanistas,PH,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
12,Metropolitana,5.5,7,Pamela Jiles,Humanistas,PH,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
13,Metropolitana,5.5,7,Rojo Edwards,Republicanos,REP,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
14,Metropolitana,5.5,7,Gabriel Silber,Unidad Constituyente,DC,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
15,Metropolitana,5.5,7,Pablo Vidal,Unidad Constituyente,NT,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
16,Metropolitana,5.5,7,Francisco Vidal,Unidad Constituyente,PPD,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
17,Metropolitana,5.5,7,Maya Fernández,Unidad Constituyente,PS,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
18,Metropolitana,5.5,7,Máximo Pacheco,Unidad Constituyente,PS,La Segunda,16-06-2021,1,https://digital.lasegunda.com/2021/06/16/A/QP3VSELC#zoom=page-width,
